term,crn,Seats_Capacity,Seats_Actual,Seats_Remaining,Waitlist_Capacity,Waitlist_Actual,Waitlist_Remaining
202409,11268,32,32,0,30,0,30
202501,20461,30,30,0,4,1,3
202501,21560,22,20,2,0,0,0
202409,11387,25,21,4,4,0,4
202501,23550,40,29,11,100,0,100
202501,21884,40,23,17,17,0,17
202501,21055,35,20,15,50,0,50
202409,12193,65,42,23,30,0,30
202409,10400,58,60,-2,100,0,100
202409,10697,33,33,0,0,0,0
202409,10799,17,14,3,0,0,0
202501,22002,20,16,4,10,0,10
202501,22424,35,31,4,100,0,100
202501,23510,25,7,18,100,0,100
202501,23936,20,0,20,0,0,0
202409,11557,24,13,11,5,0,5
202409,12616,150,124,26,100,0,100
202501,22264,5,0,5,5,0,5
202409,12542,46,46,0,0,0,0
202409,10730,30,17,13,0,0,0
202501,22451,50,10,40,100,0,100
202409,12452,3,1,2,3,0,3
202409,10833,11,11,0,25,0,25
202501,21833,38,38,0,100,13,87
202501,21667,25,8,17,0,0,0
202501,21201,40,40,0,5,4,1
202409,11997,40,10,30,100,0,100
202501,22507,24,24,0,0,0,0
202409,12022,50,43,7,12,0,12
202501,23782,10,3,7,100,0,100
202409,11187,35,32,3,0,0,0
202409,10083,75,42,33,100,0,100
202409,13652,6,0,6,0,0,0
202409,11064,35,34,1,0,0,0
202501,21846,30,8,22,50,0,50
202501,22038,80,75,5,10,0,10
202409,11692,22,23,-1,0,0,0
202501,21241,23,23,0,23,5,18
202409,13847,50,50,0,100,0,100
202501,21520,35,13,22,10,0,10
202409,10196,13,8,5,0,0,0
202501,20400,12,2,10,50,0,50
202501,21352,18,16,2,5,4,1
202409,14051,2,0,2,0,0,0
202501,21448,24,22,2,5,0,5
202501,20612,64,62,2,10,0,10
202501,22825,65,64,1,25,1,24
202409,13683,18,1,17,50,0,50
202409,12291,5,0,5,5,0,5
202501,21122,66,63,3,0,0,0
202409,10084,100,82,18,100,0,100
202501,23124,15,13,2,100,0,100
202501,23906,25,9,16,0,0,0
202501,23848,30,23,7,0,0,0
202501,20658,15,7,8,10,0,10
202501,20896,120,119,1,50,0,50
202501,23825,25,9,16,0,0,0
202501,21664,53,50,3,100,0,100
202501,21927,80,74,6,40,0,40
202409,13300,15,12,3,100,0,100
202409,11605,25,10,15,10,0,10
202409,10573,40,40,0,15,0,15
202501,22009,24,8,16,0,0,0
202409,11500,16,16,0,5,0,5
202409,10891,60,20,40,100,0,100
202501,21054,150,38,112,100,0,100
202409,11986,20,8,12,0,0,0
202409,13047,78,74,4,100,0,100
202501,20188,30,22,8,100,0,100
202501,22712,25,25,0,0,0,0
202501,21081,33,33,0,0,0,0
202409,12975,30,20,10,20,0,20
202409,11421,30,23,7,0,0,0
202409,12891,25,25,0,0,0,0
202409,14072,38,29,9,50,0,50
202409,11216,33,20,13,0,0,0
202409,10700,33,30,3,0,0,0
202501,22048,18,17,1,10,2,8
202409,10795,17,15,2,0,0,0
202501,20174,18,17,1,0,0,0
202501,21471,110,4,106,100,0,100
202501,23549,75,50,25,100,0,100
202409,12101,165,157,8,75,0,75
202409,10439,20,11,9,5,0,5
202501,21119,35,35,0,100,9,91
202501,22147,60,49,11,100,0,100
202501,22148,30,11,19,100,0,100
202501,21576,22,22,0,0,0,0
202409,11297,30,30,0,10,0,10
202409,13961,10,0,10,100,0,100
202501,20593,80,26,54,5,0,5
202409,12053,40,35,5,10,0,10
202501,23542,18,9,9,30,0,30
202409,11975,5,0,5,0,0,0
202501,22053,25,22,3,20,0,20
202409,12000,10,8,2,100,0,100
202501,21854,28,28,0,100,19,81
202409,12547,21,15,6,0,0,0
202409,12357,20,11,9,100,0,100
202409,14093,100,10,90,0,0,0
202409,11969,20,1,19,100,0,100
202409,12086,135,125,10,60,0,60
202409,13864,24,14,10,100,0,100
202409,11583,175,50,125,100,0,100
202409,10510,30,27,3,4,0,4
202409,12660,24,24,0,0,0,0
202409,11063,35,35,0,0,0,0
202409,12330,5,2,3,5,0,5
202501,20629,32,32,0,0,0,0
202409,11487,15,14,1,5,0,5
202409,12324,5,1,4,5,0,5
202501,21861,40,40,0,100,0,100
202409,12812,20,6,14,2,0,2
202409,10898,60,54,6,100,0,100
202409,11161,33,33,0,0,0,0
202501,20692,30,29,1,0,0,0
202409,12858,20,15,5,100,0,100
202501,23141,10,7,3,100,0,100
202409,10250,26,20,6,10,0,10
202409,12168,80,31,49,20,0,20
202501,23175,14,14,0,100,0,100
202409,13155,22,15,7,50,0,50
202501,20910,9,9,0,3,0,3
202409,12401,3,0,3,3,0,3
202409,11390,25,23,2,4,0,4
202409,10327,22,22,0,4,0,4
202501,22833,35,34,1,40,17,23
202409,13909,10,0,10,100,0,100
202501,23765,10,2,8,100,0,100
202409,11992,45,42,3,100,0,100
202501,22682,25,25,0,100,0,100
202501,21732,100,99,1,100,46,54
202501,22280,5,0,5,5,0,5
202409,11881,64,61,3,100,0,100
202409,10828,148,127,21,14,0,14
202409,13012,38,31,7,0,0,0
202409,13041,35,29,6,100,0,100
202501,22232,3,0,3,3,0,3
202409,13087,80,78,2,100,0,100
202409,12424,5,0,5,5,0,5
202409,11313,3,3,0,3,0,3
202409,13914,17,23,-6,100,0,100
202409,11166,33,32,1,0,0,0
202409,10825,15,13,2,0,0,0
202409,13102,64,63,1,100,0,100
202409,11715,22,16,6,0,0,0
202501,23555,5,3,2,100,0,100
202409,10093,22,20,2,10,0,10
202409,10323,22,22,0,4,0,4
202409,12615,420,374,46,100,0,100
202501,22300,20,5,15,10,0,10
202409,11452,15,7,8,100,0,100
202409,12420,5,1,4,5,0,5
202501,23869,25,15,10,0,0,0
202409,12024,50,45,5,20,0,20
202501,22896,25,24,1,100,0,100
202501,22904,25,21,4,100,0,100
202409,13681,18,9,9,30,0,30
202409,12659,24,24,0,0,0,0
202501,21101,30,12,18,25,0,25
202409,11060,35,35,0,0,0,0
202409,11855,140,72,68,100,0,100
202501,20078,25,5,20,20,0,20
202501,23046,50,24,26,20,0,20
202409,10701,33,31,2,0,0,0
202409,11109,90,21,69,100,0,100
202501,22284,5,0,5,5,0,5
202501,21834,38,37,1,100,9,91
202501,23183,30,30,0,100,0,100
202409,11468,18,19,-1,5,0,5
202409,12550,21,18,3,0,0,0
202501,20866,15,9,6,50,0,50
202409,12301,30,23,7,100,0,100
202409,11714,22,20,2,0,0,0
202409,13226,200,193,7,70,0,70
202409,12267,60,42,18,100,0,100
202501,22735,35,35,0,0,0,0
202501,22243,3,0,3,2,0,2
202501,21911,40,32,8,40,0,40
202409,10311,20,20,0,4,0,4
202409,12943,25,24,1,100,0,100
202409,12153,24,23,1,10,0,10
202409,10763,21,19,2,0,0,0
202501,20991,85,45,40,100,0,100
202409,11058,35,35,0,0,0,0
202501,21192,2,0,2,1,0,1
202501,22781,25,25,0,100,28,72
202409,14121,15,0,15,0,0,0
202501,20547,30,15,15,100,0,100
202409,13227,186,90,96,75,0,75
202501,20473,16,16,0,4,4,0
202501,23855,5,0,5,6,0,6
202501,20263,358,357,1,100,32,68
202501,22279,5,2,3,5,0,5
202501,21843,23,23,0,100,0,100
202409,12186,27,27,0,16,0,16
202501,22447,10,10,0,0,0,0
202501,22170,5,3,2,5,0,5
202501,20231,24,23,1,10,0,10
202409,11755,35,30,5,100,0,100
202409,10580,16,16,0,2,0,2
202501,21519,43,16,27,10,0,10
202501,20280,24,24,0,4,4,0
202501,20665,30,30,0,0,0,0
202409,11884,50,12,38,100,0,100
202409,10817,70,55,15,0,0,0
202501,22157,20,9,11,100,0,100
202409,11440,22,20,2,4,0,4
202409,13676,10,7,3,100,0,100
202501,21582,22,22,0,0,0,0
202501,20883,100,74,26,50,0,50
202409,11725,22,12,10,0,0,0
202501,20661,20,3,17,10,0,10
202409,10360,16,5,11,4,0,4
202409,14270,2,2,0,0,0,0
202501,22558,24,24,0,0,0,0
202501,22552,24,24,0,0,0,0
202501,21642,60,18,42,100,0,100
202409,12806,20,13,7,2,0,2
202409,10109,60,8,52,100,0,100
202501,23047,50,15,35,20,0,20
202409,12422,5,0,5,5,0,5
202501,21627,30,26,4,30,0,30
202501,22306,20,2,18,20,0,20
202501,20159,30,29,1,5,5,0
202409,11403,24,23,1,4,0,4
202409,10396,50,50,0,100,0,100
202409,12192,55,42,13,30,0,30
202409,13646,14,7,7,100,0,100
202501,22171,5,0,5,5,0,5
202501,20457,30,30,0,4,1,3
202409,10390,20,18,2,4,0,4
202409,11864,48,51,-3,100,0,100
202501,21456,24,21,3,5,0,5
202501,23709,17,24,-7,100,15,85
202501,21690,80,7,73,5,0,5
202501,22473,40,39,1,100,0,100
202409,10117,26,22,4,100,0,100
202501,21106,100,25,75,100,0,100
202409,10319,22,16,6,4,0,4
202409,12252,24,18,6,5,0,5
202409,10385,20,20,0,4,0,4
202501,22577,50,39,11,100,0,100
202409,11527,15,9,6,5,0,5
202409,11484,15,14,1,5,0,5
202409,12314,5,1,4,5,0,5
202409,13754,60,57,3,100,0,100
202409,10220,23,22,1,50,0,50
202409,10636,64,65,-1,10,0,10
202501,20554,12,12,0,10,6,4
202409,10614,60,55,5,50,0,50
202501,21625,24,24,0,24,5,19
202409,11054,300,300,0,100,0,100
202409,11405,24,23,1,4,0,4
202501,21260,23,23,0,23,6,17
202409,12320,5,3,2,5,0,5
202501,22105,22,19,3,5,0,5
202501,23801,5,0,5,0,0,0
202501,21549,22,22,0,0,0,0
202409,10814,23,21,2,0,0,0
202501,20864,10,10,0,3,1,2
202409,11492,16,14,2,0,0,0
202501,21534,50,45,5,100,0,100
202409,11845,70,56,14,20,0,20
202501,20096,60,60,0,100,6,94
202501,23513,6,0,6,0,0,0
202409,11092,30,30,0,0,0,0
202501,21671,270,211,59,100,0,100
202409,10027,30,30,0,75,0,75
202409,10274,358,345,13,100,0,100
202409,12374,5,2,3,5,0,5
202501,23104,2,2,0,0,0,0
202501,20869,10,5,5,3,0,3
202501,22014,32,25,7,10,0,10
202409,12166,24,22,2,10,0,10
202501,22296,3,0,3,3,0,3
202409,10391,20,20,0,4,0,4
202501,23135,15,10,5,100,0,100
202409,10325,22,22,0,4,0,4
202409,12737,18,18,0,0,0,0
202409,11761,35,14,21,50,0,50
202409,11345,64,60,4,60,0,60
202409,10682,31,28,3,0,0,0
202409,10177,18,16,2,0,0,0
202409,10533,10,6,4,4,0,4
202409,13976,10,8,2,100,0,100
202409,10489,30,29,1,4,0,4
202501,21660,25,22,3,10,0,10
202501,23776,10,0,10,100,0,100
202409,14138,22,20,2,20,0,20
202409,10047,120,117,3,30,0,30
202501,22133,5,2,3,5,0,5
202409,10091,22,17,5,10,0,10
202501,23740,33,29,4,100,0,100
202409,10970,96,72,24,50,0,50
202501,22215,5,2,3,5,0,5
202501,23493,20,15,5,30,0,30
202409,13731,14,14,0,100,0,100
202409,11643,30,23,7,0,0,0
202409,14107,20,16,4,0,0,0
202501,20160,18,17,1,0,0,0
202501,22572,25,19,6,5,0,5
202501,20205,32,32,0,100,15,85
202409,11014,96,72,24,50,0,50
202501,22189,16,13,3,100,0,100
202409,12183,151,93,58,30,0,30
202501,21700,53,23,30,5,0,5
202501,21583,22,22,0,0,0,0
202409,12210,40,20,20,0,0,0
202501,21886,40,7,33,17,0,17
202409,10786,60,56,4,0,0,0
202409,10750,31,24,7,0,0,0
202409,10413,30,23,7,100,0,100
202501,20378,24,18,6,4,4,0
202501,22431,35,28,7,30,0,30
202501,21689,30,21,9,10,0,10
202409,12285,5,2,3,5,0,5
202501,22623,140,112,28,100,0,100
202501,23829,25,17,8,0,0,0
202501,22512,24,24,0,0,0,0
202501,22521,24,16,8,0,0,0
202409,10588,20,21,-1,2,0,2
202501,22967,38,38,0,50,2,48
202501,22091,75,75,0,10,9,1
